Broker,Message Size (bytes),benchmark_start_time_seconds,benchmark_total_messages,benchmark_duration_seconds,benchmark_throughput_msg_per_sec,benchmark_throughput_mb_per_sec,benchmark_latency_p50_seconds,benchmark_latency_p95_seconds,benchmark_latency_p99_seconds
rabbitmq,100,1780157826.0,10000.0,0.864044,11562.22,1.1,9.9e-05,0.000133,0.000203
rabbitmq,1024,1780157837.0,10000.0,0.905122,11035.02,10.78,9.9e-05,0.000138,0.000246
rabbitmq,10240,1780157849.0,10000.0,1.202047,8306.88,81.12,0.000122,0.00024,0.000389
rabbitmq,51200,1780157860.0,10000.0,1.484792,6730.28,328.63,0.000156,0.000337,0.000577
rabbitmq,102400,1780157872.0,10000.0,1.653985,6039.28,589.77,0.000195,0.000376,0.000455
kafka,100,1780157882.0,10000.0,0.108795,53476.84,5.1,0.005478,0.030963,0.036544
kafka,1024,1780157892.0,10000.0,0.068041,46990.54,45.89,0.087671,0.105368,0.117957
kafka,10240,1780157903.0,10000.0,0.285828,27647.91,270.0,0.016399,0.031055,0.036298
kafka,51200,1780157914.0,10000.0,1.11055,8412.73,410.78,0.048007,0.084911,0.104433
kafka,102400,1780157926.0,10000.0,1.491055,6385.08,623.54,0.076064,0.139654,0.154973
